name,neighbourhood_group,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedrooms,beds,baths,nb_count,host_id_count,price-transform
Condo i,Manhattan,Entire home/apt,30,23,2900,0.18,10,364,0,No License,4.9,2.0,1,1.0,629,10,3.5380401853203587
Home in,Queens,Private room,30,12,807,0.12,3,268,0,No License,4.75,1.0,1,1.0,324,3,2.880007809468463
Home in,Bronx,Private room,30,15,1533,0.2,2,177,0,No License,4.87,2.0,1,1.0,36,2,2.9338999825904946
Rental ,Brooklyn,Entire home/apt,30,18,1099,0.16,1,0,0,No License,4.94,1.0,1,1.0,969,1,2.9517727088869
Rental ,Brooklyn,Entire home/apt,30,298,41,2.64,2,12,37,No License,4.66,2.0,2,1.0,1586,2,3.0679137375811734
Home in,Brooklyn,Private room,30,19,89,2.22,1,180,19,No License,4.58,1.0,2,1.0,41,1,2.887312033330232
Rental ,Queens,Entire home/apt,30,1,812,0.04,1,9,0,No License,4.39,1.0,1,1.0,253,1,3.064112823187757
Rental ,Manhattan,Entire home/apt,30,8,154,0.27,30,17,2,No License,5.0,0.0,1,1.0,138,29,2.804793885493015
Service,Brooklyn,Hotel room,30,21,51,0.19,18,249,2,No License,4.95,0.0,2,1.0,301,18,2.9920531496671643
Rental ,Brooklyn,Entire home/apt,30,50,32,3.75,1,83,44,No License,4.78,1.0,1,1.0,401,1,2.887312033330232
Rental ,Manhattan,Private room,30,83,1380,0.74,2,0,0,No License,4.75,3.0,1,1.5,375,2,2.60854424575946
Rental ,Brooklyn,Entire home/apt,30,23,30,3.45,1,100,23,No License,4.83,2.0,3,1.0,57,1,2.9517727088869
Rental ,Manhattan,Private room,30,1,870,0.03,2,0,0,No License,4.39,1.0,1,1.0,302,2,2.724259801377724
Rental ,Staten Island,Entire home/apt,30,48,123,1.49,3,364,10,No License,4.73,2.0,4,1.0,31,3,3.0483371225710463
Condo i,Brooklyn,Entire home/apt,30,1,3083,0.01,1,0,0,No License,4.39,2.0,2,1.0,51,1,3.0042797123413307
Home in,Queens,Entire home/apt,30,14,84,1.4,2,365,14,No License,4.5,6.0,8,4.0,66,2,3.5149438834044457
Hotel i,Manhattan,Private room,1,10,835,0.31,9,0,0,Exempt,4.8,0.0,1,1.0,366,9,3.53782338764674
Rental ,Brooklyn,Private room,30,99,2300,0.97,1,0,0,No License,4.53,1.0,1,1.0,166,1,2.8836824505315013
Rental ,Brooklyn,Entire home/apt,30,1,199,0.15,1,0,1,No License,4.39,1.0,3,1.0,664,1,2.8687030856226254
Rental ,Bronx,Entire home/apt,30,27,69,1.86,1,365,16,No License,4.15,1.0,1,1.0,66,1,2.9603045404593864
Home in,Queens,Entire home/apt,30,1,151,0.2,7,365,1,No License,4.39,3.0,6,1.0,72,4,3.3295655152609998
Rental ,Queens,Private room,2,43,8,2.75,1,357,32,OSE,4.79,2.0,4,1.0,110,1,2.9792605776210648
Rental ,Bronx,Entire home/apt,30,46,387,0.68,1,150,0,No License,5.0,1.0,2,1.0,9,1,2.9792605776210648
Rental ,Bronx,Entire home/apt,30,40,123,2.45,3,365,29,No License,4.45,2.0,2,1.0,24,3,3.104795831366627
Rental ,Queens,Entire home/apt,30,12,173,0.94,1,203,11,No License,4.58,0.0,2,1.0,50,1,2.6922125944076853
Rental ,Bronx,Entire home/apt,30,5,16,0.26,6,348,2,No License,5.0,2.0,3,1.0,14,6,2.9517727088869
Home in,Brooklyn,Entire home/apt,2,6,1,2.17,5,214,6,Exempt,4.67,5.0,9,3.5,270,5,3.354464609240732
Rental ,Brooklyn,Entire home/apt,30,13,601,0.4,6,289,0,No License,4.46,1.0,2,1.0,401,5,3.1191154596054207
Rental ,Queens,Private room,31,52,207,2.32,4,90,8,No License,4.42,1.0,1,1.0,145,4,2.7534287921185427
Rental ,Queens,Entire home/apt,30,63,97,0.99,1,297,2,No License,4.81,1.0,2,1.0,58,1,2.840538792993868
Rental ,Manhattan,Entire home/apt,1,25,354,1.11,44,0,1,Exempt,3.84,1.0,1,1.0,942,43,3.0753542716827496
Rental ,Manhattan,Entire home/apt,1,26,368,0.96,44,0,0,Exempt,4.27,1.0,1,1.0,942,43,3.0843664004975637
Rental ,Manhattan,Entire home/apt,1,38,348,1.41,44,0,1,Exempt,4.21,1.0,1,1.0,942,43,3.071660423446084
Rental ,Brooklyn,Private room,30,4,400,0.13,9,0,0,No License,5.0,1.0,1,1.0,1586,7,2.8687030856226254
Condo i,Brooklyn,Entire home/apt,60,43,96,1.56,1,35,15,No License,4.93,1.0,1,1.0,301,1,2.965852458546067
Rental ,Brooklyn,Private room,30,70,195,2.38,2,0,3,No License,4.61,1.0,1,1.0,210,2,2.6170600014230736
Townhou,Manhattan,Private room,30,44,66,1.73,1,332,19,No License,4.77,1.0,2,1.0,1063,1,3.0843664004975637
Townhou,Queens,Private room,30,2,121,0.38,267,25,2,No License,4.39,1.0,1,1.0,145,87,2.3895999477042382
Rental ,Manhattan,Entire home/apt,75,10,144,0.12,16,363,1,No License,4.4,1.0,1,1.0,302,16,2.8231862587850465
Rental ,Brooklyn,Entire home/apt,30,1,165,0.18,1,0,1,No License,4.39,1.0,1,1.0,160,1,2.9517727088869
Rental ,Manhattan,Entire home/apt,30,1,52,0.56,2,51,1,No License,4.39,1.0,1,1.0,1063,1,2.774989302169623
Rental ,Manhattan,Entire home/apt,2,3,18,3.0,1,269,3,OSE,5.0,1.0,1,1.0,867,1,3.335762863919386
Condo i,Manhattan,Entire home/apt,30,4,454,0.14,1,364,0,No License,4.75,1.0,1,1.0,366,1,3.214256889436886
Home in,Brooklyn,Entire home/apt,30,17,62,1.05,11,349,11,No License,4.53,2.0,10,1.0,401,11,3.186481982394027
Rental ,Manhattan,Entire home/apt,30,2,523,0.07,1,0,0,No License,4.39,1.0,1,1.5,204,1,3.2615473330677593
Service,Manhattan,Entire home/apt,30,1,752,0.04,5,363,0,No License,4.39,1.0,2,1.0,942,5,3.280405033737258
Rental ,Queens,Private room,30,1,871,0.03,1,0,0,No License,4.39,1.0,1,1.0,138,1,2.664130054594828
Rental ,Queens,Entire home/apt,30,1,768,0.04,1,0,0,No License,4.39,1.0,1,1.0,361,1,2.9517727088869
Loft in,Brooklyn,Private room,30,2,751,0.02,4,310,0,No License,4.39,1.0,1,1.0,1586,4,2.572227276182801
Home in,Bronx,Private room,30,17,116,0.8,8,0,4,No License,4.94,1.0,1,1.0,35,8,2.572227276182801
Rental ,Brooklyn,Entire home/apt,30,6,40,0.47,9,343,5,No License,4.67,1.0,1,1.0,751,8,2.844726755639499
Rental ,Queens,Entire home/apt,30,24,578,0.27,3,365,0,No License,4.58,1.0,3,1.0,138,3,2.939982748996748
Service,Brooklyn,Entire home/apt,30,25,99,0.27,17,241,5,No License,4.76,0.0,2,1.0,51,17,2.8687030856226254
Rental ,Brooklyn,Private room,30,13,104,1.29,5,205,13,No License,5.0,1.0,1,1.0,751,5,2.5208547922052063
Rental ,Manhattan,Entire home/apt,30,53,29,2.52,9,365,28,No License,4.7,0.0,1,1.0,629,9,3.1191154596054207
Rental ,Brooklyn,Entire home/apt,30,18,97,0.42,1,359,2,No License,5.0,0.0,2,1.0,751,1,2.887312033330232
Rental ,Brooklyn,Entire home/apt,30,1,35,0.81,2,340,1,No License,4.39,1.0,2,1.0,1586,2,2.914839672726461
Rental ,Brooklyn,Private room,1,51,12,1.01,2,148,27,Exempt,4.86,1.0,1,1.0,1586,2,2.9603045404593864
Rental ,Manhattan,Entire home/apt,30,10,66,0.24,60,280,3,No License,4.6,2.0,2,1.0,786,52,3.128231583903203
Rental ,Brooklyn,Entire home/apt,30,1,207,0.14,1,154,1,No License,4.39,1.0,1,1.5,1586,1,3.1550884140921847
Rental ,Brooklyn,Entire home/apt,30,28,41,3.84,1,266,28,No License,4.96,2.0,3,1.0,751,1,2.8979402244410446
Home in,Brooklyn,Private room,30,1,81,0.36,3,361,1,No License,4.39,1.0,1,1.0,664,2,2.804793885493015
Rental ,Brooklyn,Private room,90,1,949,0.03,589,289,0,No License,4.39,1.0,1,2.0,751,54,2.4609699101022455
Rental ,Brooklyn,Entire home/apt,30,124,33,1.87,2,88,15,No License,4.94,2.0,2,1.0,1586,2,3.281972562589499
Earthen,Brooklyn,Private room,30,1,911,0.03,2,178,0,No License,4.39,1.0,2,1.0,1586,2,2.7801576351167334
Rental ,Brooklyn,Entire home/apt,30,248,18,1.6,1,360,2,No License,4.43,1.0,2,1.0,751,1,2.790246250272778
Guest s,Brooklyn,Entire home/apt,30,7,57,0.36,4,230,3,No License,5.0,1.0,1,1.0,1586,3,2.887312033330232
Service,Manhattan,Entire home/apt,30,2,274,0.19,256,364,2,No License,4.39,0.0,1,1.0,786,146,2.9488706992255116
Rental ,Brooklyn,Entire home/apt,30,26,116,1.38,1,355,12,No License,4.69,3.0,3,1.0,1586,1,3.015984223658283
Rental ,Brooklyn,Entire home/apt,1,223,22,3.86,7,169,49,Exempt,4.64,0.0,2,1.0,1586,7,2.9115372345969823
Rental ,Brooklyn,Private room,30,1,289,0.1,2,180,1,No License,4.39,1.0,1,1.0,1586,1,2.60854424575946
Rental ,Manhattan,Private room,30,3,61,0.12,3,4,2,No License,5.0,1.0,1,1.0,629,3,2.8186899895107715
Rental ,Brooklyn,Private room,30,2,220,0.06,12,299,1,No License,4.39,1.0,1,2.0,969,7,2.774989302169623
Home in,Queens,Private room,30,41,31,2.59,2,64,27,No License,4.56,1.0,2,1.5,91,2,2.804793885493015
Rental ,Brooklyn,Entire home/apt,30,9,491,0.15,19,365,0,No License,4.67,1.0,2,1.0,751,15,2.9920531496671643
Loft in,Brooklyn,Entire home/apt,30,1,748,0.04,1,263,0,No License,4.39,1.0,1,1.0,301,1,3.1191154596054207
Rental ,Manhattan,Entire home/apt,30,2,824,0.07,91,340,0,No License,4.39,1.0,1,1.0,191,35,3.0771818022943487
Condo i,Brooklyn,Entire home/apt,30,16,100,1.74,1,165,16,No License,4.81,2.0,2,1.0,751,1,3.089627366476361
Rental ,Manhattan,Private room,30,5,62,0.43,4,153,5,No License,3.6,1.0,1,1.0,375,2,2.3735744856006074
Rental ,Brooklyn,Entire home/apt,30,17,120,0.21,8,174,5,No License,4.76,0.0,2,1.0,301,8,2.844726755639499
Rental ,Brooklyn,Private room,3,45,19,3.08,1,288,35,OSE,4.73,1.0,2,1.0,969,1,2.9048178166875385
Rental ,Brooklyn,Private room,30,40,147,2.49,9,365,24,No License,4.6,1.0,1,1.5,751,9,3.027205857775385
Rental ,Brooklyn,Private room,30,3,279,0.08,19,310,1,No License,4.33,1.0,1,1.5,751,15,2.572227276182801
Rental ,Manhattan,Private room,30,3,210,0.33,5,365,3,No License,3.0,1.0,1,1.0,52,2,2.5208547922052063
Rental ,Brooklyn,Entire home/apt,30,11,64,0.69,4,331,4,No License,3.82,3.0,3,2.0,1586,4,3.0621915810178018
