name,neighbourhood_group,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedrooms,beds,baths,nb_count,host_id_count
Rental ,Brooklyn,Entire home/apt,30,18,12,0.47,1,334,2,No License,4.94,3.0,4,2.0,246,1
Rental ,Brooklyn,Private room,30,61,1543,0.84,1,0,0,No License,4.54,1.0,1,1.0,664,1
Condo i,Brooklyn,Entire home/apt,30,29,47,0.32,1,230,4,No License,4.93,2.0,2,1.0,664,1
Rental ,Brooklyn,Private room,30,80,90,1.43,1,165,14,No License,4.74,1.0,1,1.0,210,1
Rental ,Brooklyn,Entire home/apt,30,20,193,0.81,1,275,2,No License,4.35,2.0,3,1.0,664,1
Rental ,Queens,Private room,30,78,131,0.77,2,364,6,No License,4.72,1.0,1,1.0,241,2
Loft in,Brooklyn,Entire home/apt,30,24,110,1.53,1,365,6,No License,5.0,1.0,1,1.0,751,1
Rental ,Manhattan,Entire home/apt,2,17,26,3.25,7,153,17,Exempt,4.59,2.0,2,1.0,942,7
Rental ,Manhattan,Entire home/apt,30,6,369,0.07,33,27,0,No License,2.83,2.0,4,1.0,207,24
Rental ,Brooklyn,Entire home/apt,30,36,164,2.2,1,239,14,No License,4.89,0.0,1,1.0,1586,1
Condo i,Manhattan,Entire home/apt,30,99,104,0.71,1,145,2,No License,4.87,2.0,2,1.0,73,1
Home in,Brooklyn,Entire home/apt,30,134,54,1.07,2,310,20,No License,4.82,1.0,1,1.0,1586,2
Rental ,Brooklyn,Private room,30,28,77,2.61,1,0,28,No License,4.82,1.0,1,1.0,1586,1
Condo i,Manhattan,Entire home/apt,30,41,42,1.86,2,365,19,No License,4.9,1.0,1,2.0,942,2
Rental ,Manhattan,Entire home/apt,31,1,476,0.06,713,277,0,No License,4.39,1.0,1,1.0,867,107
Condo i,Manhattan,Private room,30,40,137,1.25,2,364,3,No License,4.6,2.0,4,1.0,1063,2
Rental ,Manhattan,Entire home/apt,3,21,19,1.62,2,135,20,Exempt,4.9,1.0,1,1.0,867,2
Rental ,Manhattan,Entire home/apt,30,9,26,1.12,1,97,9,No License,5.0,1.0,2,1.0,942,1
Service,Manhattan,Private room,30,56,46,3.29,22,225,36,No License,4.73,1.0,1,1.0,1063,22
Home in,Queens,Private room,30,285,70,7.47,1,362,54,No License,4.91,1.0,1,1.0,111,1
Guest s,Queens,Private room,30,44,53,1.06,2,179,18,No License,4.91,1.0,1,1.0,66,2
Rental ,Brooklyn,Entire home/apt,30,41,947,0.69,1,0,0,No License,4.61,2.0,3,1.0,969,1
Rental ,Manhattan,Entire home/apt,30,255,32,3.76,1,208,53,No License,4.88,2.0,2,2.0,786,1
Townhou,Brooklyn,Private room,30,294,30,3.94,1,335,48,No License,4.95,1.0,4,1.5,178,1
Boutiqu,Manhattan,Private room,30,14,58,1.02,35,0,12,No License,4.57,1.0,1,1.0,942,17
Condo i,Queens,Private room,30,18,63,2.05,1,179,18,No License,4.78,1.0,1,1.0,131,1
Rental ,Queens,Private room,30,65,91,3.56,1,89,32,No License,5.0,1.0,1,1.0,253,1
Guest s,Brooklyn,Entire home/apt,30,5,194,0.41,1,318,4,No License,5.0,2.0,2,1.0,190,1
Rental ,Manhattan,Private room,30,18,152,0.14,1,70,2,No License,4.71,1.0,1,2.0,629,1
Rental ,Manhattan,Entire home/apt,30,3,127,0.58,1,125,3,No License,5.0,2.0,1,1.0,1063,1
Rental ,Queens,Private room,30,9,79,2.0,3,364,9,No License,5.0,1.0,2,1.0,136,3
Home in,Brooklyn,Private room,30,5,180,0.3,15,358,2,No License,5.0,1.0,2,1.0,270,15
Townhou,Queens,Private room,30,1,554,0.05,267,66,0,No License,4.39,1.0,1,1.0,145,87
Townhou,Brooklyn,Entire home/apt,30,148,126,1.48,1,34,2,No License,4.93,2.0,2,1.0,95,1
Rental ,Manhattan,Entire home/apt,30,4,1829,0.04,1,171,0,No License,4.5,3.0,3,2.0,204,1
Rental ,Manhattan,Private room,30,86,22,1.16,1,99,1,No License,4.26,1.0,2,1.0,158,1
Rental ,Brooklyn,Entire home/apt,30,87,30,1.72,1,187,28,No License,4.87,2.0,3,2.0,1586,1
Rental ,Manhattan,Entire home/apt,3,193,6,1.62,2,103,55,Exempt,4.89,2.0,3,1.0,1063,2
Home in,Queens,Entire home/apt,30,113,68,6.05,1,364,73,No License,4.74,1.0,1,1.0,241,1
Rental ,Brooklyn,Shared room,30,114,145,1.22,1,178,10,No License,4.67,1.0,1,1.0,1586,1
Rental ,Manhattan,Entire home/apt,30,22,79,0.37,1,49,4,Exempt,4.77,1.0,1,1.0,366,1
Rental ,Brooklyn,Private room,30,11,66,0.21,4,45,1,No License,4.64,1.0,1,1.0,1586,4
Rental ,Manhattan,Entire home/apt,30,9,132,1.01,2,0,9,No License,5.0,1.0,1,1.0,629,1
Condo i,Brooklyn,Private room,30,1,124,0.24,1,97,1,No License,4.39,1.0,1,1.0,969,1
Condo i,Queens,Entire home/apt,30,38,51,3.19,1,0,38,No License,4.9,1.0,3,1.0,170,1
Home in,Queens,Private room,30,46,1508,0.81,6,0,0,No License,4.59,1.0,1,4.0,69,6
Rental ,Manhattan,Private room,1,17,4,5.2,2,82,17,OSE,5.0,1.0,2,1.0,867,2
Boutiqu,Manhattan,Private room,1,1,143,0.21,8,282,1,Exempt,4.39,1.0,1,1.0,942,5
Rental ,Brooklyn,Entire home/apt,30,20,183,0.73,1,5,1,No License,4.8,1.0,1,1.0,178,1
Rental ,Manhattan,Entire home/apt,30,14,40,0.23,139,335,1,No License,4.57,0.0,2,1.0,867,129
Rental ,Queens,Private room,30,3,208,0.23,93,338,2,No License,4.67,1.0,1,1.0,145,81
Rental ,Brooklyn,Entire home/apt,30,12,123,1.17,8,365,12,No License,4.5,3.0,3,1.0,57,8
Condo i,Brooklyn,Entire home/apt,30,47,65,2.76,3,180,27,No License,4.72,3.0,5,1.0,751,3
Place t,Manhattan,Entire home/apt,1,6,19,3.1,2,80,6,Exempt,4.67,1.0,2,1.0,1063,1
Rental ,Brooklyn,Entire home/apt,30,7,69,0.57,1,177,6,No License,4.43,2.0,2,1.0,301,1
Rental ,Manhattan,Private room,1,4,11,2.03,55,143,4,Exempt,3.5,1.0,2,2.0,942,52
Home in,Queens,Private room,30,92,117,1.57,2,89,14,No License,4.64,1.0,2,1.0,138,2
Rental ,Queens,Private room,2,142,123,1.78,1,0,20,OSE,4.96,2.0,3,1.0,67,1
